                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.66405,                0.40021,                0.84262,                0.90027,                0.87956,                0.93757,                 0.7916,                0.61461,                0.36895,                0.82565,              0.0051985,              0.0051985,              0.0051985
                    100,                0.66363,                0.40008,                0.84257,                0.89957,                0.88026,                0.93775,                0.79162,                0.61454,                0.36934,                0.82564,               0.005149,               0.005149,               0.005149
                    101,                0.66253,                0.39684,                0.84144,                0.89993,                0.88036,                0.93748,                0.79167,                 0.6146,                0.36955,                0.82563,              0.0050995,              0.0050995,              0.0050995
                    102,                0.66144,                0.39786,                0.84079,                0.89956,                0.88059,                0.93739,                0.79146,                0.61453,                0.36969,                 0.8256,                0.00505,                0.00505,                0.00505
                    103,                0.66245,                0.39728,                0.84131,                0.89986,                0.88048,                0.93739,                0.79159,                0.61447,                0.36984,                0.82558,              0.0050005,              0.0050005,              0.0050005
                    104,                 0.6599,                0.39664,                0.84086,                 0.9039,                0.87708,                0.93728,                0.79172,                0.61449,                0.37006,                0.82561,               0.004951,               0.004951,               0.004951
                    105,                0.65932,                0.39533,                0.84052,                0.90263,                 0.8783,                0.93722,                0.79156,                0.61439,                0.37007,                0.82559,              0.0049015,              0.0049015,              0.0049015
                    106,                0.65988,                0.39591,                 0.8418,                0.90306,                0.87834,                0.93715,                0.79155,                0.61438,                0.36991,                0.82561,               0.004852,               0.004852,               0.004852
                    107,                0.65929,                0.39575,                0.84117,                0.90517,                0.87531,                0.93714,                0.79154,                 0.6143,                0.37023,                0.82557,              0.0048025,              0.0048025,              0.0048025
                    108,                0.65733,                 0.3931,                 0.8396,                0.90412,                0.87638,                0.93691,                0.79161,                0.61428,                0.37019,                0.82557,               0.004753,               0.004753,               0.004753
                    109,                0.65903,                0.39546,                0.84075,                0.90419,                0.87695,                0.93687,                0.79164,                0.61418,                 0.3701,                0.82555,              0.0047035,              0.0047035,              0.0047035
                    110,                0.65537,                0.39082,                0.83965,                0.90344,                0.87732,                 0.9369,                 0.7919,                0.61403,                0.36998,                0.82552,               0.004654,               0.004654,               0.004654
                    111,                0.65707,                0.39316,                0.84032,                0.90264,                0.87748,                0.93702,                0.79206,                0.61399,                0.37002,                0.82549,              0.0046045,              0.0046045,              0.0046045
                    112,                0.65854,                0.39423,                0.84048,                  0.903,                0.87738,                0.93698,                0.79184,                0.61385,                0.37018,                0.82544,               0.004555,               0.004555,               0.004555
                    113,                0.65268,                0.38966,                0.83864,                0.90285,                0.87675,                0.93687,                 0.7917,                0.61389,                0.37016,                0.82543,              0.0045055,              0.0045055,              0.0045055
                    114,                0.65751,                0.39346,                 0.8404,                0.90179,                0.87685,                 0.9367,                0.79175,                0.61383,                0.37006,                0.82544,               0.004456,               0.004456,               0.004456
                    115,                0.65423,                0.39045,                0.83881,                0.90275,                  0.876,                0.93656,                0.79179,                0.61376,                0.37032,                0.82541,              0.0044065,              0.0044065,              0.0044065
                    116,                0.65569,                0.39173,                0.83964,                0.90294,                0.87531,                0.93659,                0.79208,                0.61375,                0.37027,                0.82537,               0.004357,               0.004357,               0.004357
